address,BikeParking,BusinessAcceptsCreditCards,Caters,CoatCheck,GoodForKids,HappyHour,HasTV,OutdoorSeating,RestaurantsDelivery,RestaurantsGoodForGroups,RestaurantsReservations,RestaurantsTableService,RestaurantsTakeOut,WheelchairAccessible,business_id,categories,city,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,latitude,longitude,name,neighborhood,postal_code,review_count,stars,state,ambience_romantic,ambience_intimate,ambience_classy,ambience_hipster,ambience_touristy,ambience_trendy,ambience_upscale,ambience_casual,good_for_dessert,good_for_latenight,good_for_lunch,good_for_dinner,good_for_breakfast,good_for_brunch,parking_garage,parking_street,parking_validated,parking_lot,parking_valet,TotalOpenTimeInWeek,NumberOfWeekdaysWithEarlyOpening,NumberOfWeekdaysWithLateClosing,OpenOnWeekends,bestnight_monday,bestnight_tuesday,bestnight_wednesday,bestnight_thursday,bestnight_friday,bestnight_saturday,bestnight_sunday,music_dj,music_background_music,music_no_music,music_karaoke,music_live,music_video,music_jukebox,full_bar,beer_and_wine,no_alcohol,smoking_outdoor,smoking_no,smoking_yes,wifi_free,wifi_no,wifi_paid,noise_average,noise_loud,noise_quiet,noise_very_loud,price_range_1,price_range_2,price_range_3,price_range_4,attire_casual,attire_dressy
730 - 20 Crowfoot Crescent NW,False,True,False,,True,,True,False,True,True,True,False,True,,Gl1Gat-8W9wh8eydkslHJg,"American (Traditional), Restaurants, Burgers",Calgary,11.0,11.0,11.0,11.0,11.0,11.0,11.0,51.1253730365,-114.197940179,Boardwalk Fresh Burgers and Fries,,T3G 3T2,18,3.5,AB,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,False,77.0,0.0,5.0,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False
3725 Memorial Drive SE,True,True,,,True,,True,False,False,True,True,True,True,,wQW3nEd9ZTej8EmVF7FujQ,"Mexican, Restaurants, Latin American",Calgary,3.5,3.5,9.0,0.0,3.5,3.5,3.5,51.0520448,-113.9808027,Oro Azul,,T2A,13,3.0,AB,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,26.5,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False
10 Crowfoot Tce NW,True,True,False,,True,,False,False,False,True,True,True,True,,x1tVA7i0WIryZKqB83wj4g,"American (Traditional), Creperies, Breakfast & Brunch, Restaurants",Calgary,9.0,9.0,9.0,9.0,9.0,9.0,9.0,51.1269222448,-114.198298501,Eggs Oasis,,T3G 4J8,39,2.5,AB,False,False,False,False,False,False,False,True,False,False,True,False,True,True,False,False,False,True,False,63.0,5.0,0.0,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False
1301 16th Avenue NW,True,True,False,,False,,False,False,False,True,True,True,False,True,MJ_5HIvJMqu1fREQgUjWTA,"Buffets, American (Traditional), Restaurants, Beer, Wine & Spirits, Food",Calgary,2.0,4.0,0.0,0.0,4.0,4.0,4.0,51.064799,-114.086583,The Highwood,,T2M 4W7,18,4.0,AB,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,18.0,0.0,4.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False
1129 Olympic Way SE,True,True,True,False,False,True,True,True,False,True,True,True,True,,-TSAXAz0CeNv73OAh9wu2A,"American (Traditional), Restaurants, Canadian (New), Bars, Food, Nightlife, Breweries, Pubs",Calgary,12.0,11.0,14.0,14.0,11.0,11.0,11.0,51.0412573123,-114.053702811,Vagabond Brewery and Restaurant,,T2G 0L4,29,2.5,AB,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,84.0,0.0,5.0,2.0,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True,False
"11 Avenue SW, Unit 607",,True,True,,False,,True,False,False,True,True,True,True,True,twYnXojfrxKFrN-SRlIapg,"Restaurants, Burgers, Canadian (New), Gastropubs, Food, American (New), Breweries",Calgary,14.5,12.0,9.0,6.0,12.0,12.0,12.0,51.0426178,-114.0754846,Design District Urban Tavern,,T2R 0E1,58,3.5,AB,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,77.5,0.0,5.0,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False
10640 McLeod Trail SE,True,True,False,,True,True,True,True,False,True,True,True,True,,HOCuqi14chrfeKRqn-HuOw,"Cocktail Bars, Comfort Food, Restaurants, Canadian (New), Nightlife, Bars, American (New)",Calgary,14.0,13.0,12.0,12.0,13.0,13.0,13.0,50.9580225,-114.0707647,Earls Kitchen + Bar,,T2J 0P8,41,3.0,AB,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False,90.0,0.0,5.0,2.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,True,False
1331 - 17th Ave SW,,True,False,,True,,True,True,False,True,True,True,True,True,lQvMJ02_ZVIVV4e3pxwhYA,"Canadian (New), Nightlife, American (Traditional), Steakhouses, Restaurants, Lounges, Bars, American (New)",Calgary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0376253828,-114.09286864,Moxie's Grill & Bar,,T2T 0C4,14,2.5,AB,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False
1336 9th Ave SE,True,True,False,False,False,True,True,False,False,True,False,True,True,,i44uHKmr9kfoTfNOJrKhtA,"Pubs, Bars, American (New), Nightlife, Restaurants",Calgary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0405215,-114.032075,Swans of Inglewood Restaurant & Public House,,T2G 0T3,24,3.5,AB,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,False,False,False,True,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False
308b-11245 Valley Ridge Drive NW,,True,,False,True,True,True,,False,True,True,,,,3TDeKSUV4bV_OYByJSRPUg,"American (Traditional), Bars, Restaurants, Nightlife",Calgary,11.5,11.5,11.5,11.5,11.5,11.5,11.5,51.091841,-114.248704,Van Gogh Grill & Bar,,T3B 5V4,13,2.5,AB,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,80.5,0.0,5.0,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
