business_id,label,size
-1m9o3vGRA8IBPNvNqKLmA,-1,1
-1m9o3vGRA8IBPNvNqKLmA,0,6
-1m9o3vGRA8IBPNvNqKLmA,1,160
-3zffZUHoY8bQjGfPSoBKQ,-1,44
-3zffZUHoY8bQjGfPSoBKQ,0,38
-3zffZUHoY8bQjGfPSoBKQ,1,534
-CQokjildrY7UZezXCdEBw,-1,1
-CQokjildrY7UZezXCdEBw,0,1
-CQokjildrY7UZezXCdEBw,1,39
-JfncbVURtvuzBbof40o1w,-1,31
-JfncbVURtvuzBbof40o1w,0,22
-JfncbVURtvuzBbof40o1w,1,87
-NjZ5HZApXjRJaTVZeSO_w,-1,2
-NjZ5HZApXjRJaTVZeSO_w,0,6
-NjZ5HZApXjRJaTVZeSO_w,1,22
-OEIW0dO96-492qa_luxaw,-1,16
-OEIW0dO96-492qa_luxaw,0,20
-OEIW0dO96-492qa_luxaw,1,233
-PGsEXB6DFTVKa1eDOlzWA,-1,31
-PGsEXB6DFTVKa1eDOlzWA,0,18
-PGsEXB6DFTVKa1eDOlzWA,1,148
-Pv-3Moxm6is6COkQIA7Kg,0,2
-Pv-3Moxm6is6COkQIA7Kg,1,7
-SGZcGqnsp_uRIjKP2RGZg,-1,1
-SGZcGqnsp_uRIjKP2RGZg,1,8
-U7tvCtaraTQ9b0zBhpBMA,-1,249
-U7tvCtaraTQ9b0zBhpBMA,0,164
-U7tvCtaraTQ9b0zBhpBMA,1,683
-UtYWvCnUppcSaC_u1pTYQ,-1,1
-UtYWvCnUppcSaC_u1pTYQ,1,3
-Ylpy3VyRWwubf9dysuwjQ,-1,81
-Ylpy3VyRWwubf9dysuwjQ,0,57
-Ylpy3VyRWwubf9dysuwjQ,1,498
-_yEVC3_3M6YOsamYfNFEw,-1,25
-_yEVC3_3M6YOsamYfNFEw,0,20
-_yEVC3_3M6YOsamYfNFEw,1,149
-a857YYdjzgOdOjFFRsRXQ,-1,58
-a857YYdjzgOdOjFFRsRXQ,0,46
-a857YYdjzgOdOjFFRsRXQ,1,345
-gXDD2oSHBDA3zgjX6g9pQ,-1,4
-gXDD2oSHBDA3zgjX6g9pQ,0,1
-gXDD2oSHBDA3zgjX6g9pQ,1,17
-kbPPBNsIPDfMfgUGO7QhA,-1,2
-kbPPBNsIPDfMfgUGO7QhA,0,2
-kbPPBNsIPDfMfgUGO7QhA,1,20
-oUM2uISux96lMGeawHIOA,-1,105
-oUM2uISux96lMGeawHIOA,0,58
-oUM2uISux96lMGeawHIOA,1,388
-qYuPncpK8elgD-6Qx3v7A,-1,6
-qYuPncpK8elgD-6Qx3v7A,0,7
-qYuPncpK8elgD-6Qx3v7A,1,181
-wCtRhzWJ40Z4F8mmg7kWg,-1,30
-wCtRhzWJ40Z4F8mmg7kWg,0,21
-wCtRhzWJ40Z4F8mmg7kWg,1,389
005XmZKuJZuNbl5tGXc5SA,-1,4
005XmZKuJZuNbl5tGXc5SA,0,2
005XmZKuJZuNbl5tGXc5SA,1,15
01SiPgdiOskMC5bUJoyy_g,-1,16
01SiPgdiOskMC5bUJoyy_g,0,11
01SiPgdiOskMC5bUJoyy_g,1,111
01VPJkcU0m8WzlA7dCEpVQ,-1,11
01VPJkcU0m8WzlA7dCEpVQ,0,15
01VPJkcU0m8WzlA7dCEpVQ,1,245
03Yt7kMeYihN_y6ptiXxyQ,-1,7
03Yt7kMeYihN_y6ptiXxyQ,0,4
03Yt7kMeYihN_y6ptiXxyQ,1,15
07AZL5XenCQ_-op_onKLdw,-1,50
07AZL5XenCQ_-op_onKLdw,0,29
07AZL5XenCQ_-op_onKLdw,1,466
07jQarxKd_8J_AJHD5YBqQ,-1,17
07jQarxKd_8J_AJHD5YBqQ,0,11
07jQarxKd_8J_AJHD5YBqQ,1,91
0EgYXYjt2XJL4hlsKnzrcw,-1,45
0EgYXYjt2XJL4hlsKnzrcw,0,52
0EgYXYjt2XJL4hlsKnzrcw,1,706
0Hcks5q-DgJbDlmEWolx4A,-1,26
0Hcks5q-DgJbDlmEWolx4A,0,20
0Hcks5q-DgJbDlmEWolx4A,1,230
0JmCGyAqAK_yVEuZ0ts16w,-1,4
0JmCGyAqAK_yVEuZ0ts16w,0,2
0JmCGyAqAK_yVEuZ0ts16w,1,8
0QHMAUi6NdOUZ1ckXq0-sA,-1,95
