,address,BikeParking,BusinessAcceptsCreditCards,Caters,CoatCheck,GoodForKids,HappyHour,HasTV,OutdoorSeating,RestaurantsDelivery,RestaurantsGoodForGroups,RestaurantsReservations,RestaurantsTableService,RestaurantsTakeOut,WheelchairAccessible,business_id,categories,city,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,latitude,longitude,name,neighborhood,postal_code,review_count,stars,state,ambience_romantic,ambience_intimate,ambience_classy,ambience_hipster,ambience_touristy,ambience_trendy,ambience_upscale,ambience_casual,good_for_dessert,good_for_latenight,good_for_lunch,good_for_dinner,good_for_breakfast,good_for_brunch,parking_garage,parking_street,parking_validated,parking_lot,parking_valet,TotalOpenTimeInWeek,NumberOfWeekdaysWithEarlyOpening,NumberOfWeekdaysWithLateClosing,OpenOnWeekends,bestnight_monday,bestnight_tuesday,bestnight_wednesday,bestnight_thursday,bestnight_friday,bestnight_saturday,bestnight_sunday,music_dj,music_background_music,music_no_music,music_karaoke,music_live,music_video,music_jukebox,full_bar,beer_and_wine,no_alcohol,smoking_outdoor,smoking_no,smoking_yes,wifi_free,wifi_no,wifi_paid,noise_average,noise_loud,noise_quiet,noise_very_loud,price_range_1,price_range_2,price_range_3,price_range_4,attire_casual,attire_dressy,negative_reviews,neutral_reviews,positive_reviews
0,2227 N Rampart Blvd,True,True,False,,True,,True,False,False,True,False,True,True,True,0jtRI7hVMpQHpUVtUy4ITw,"Beer, Wine & Spirits, Italian, Food, American (Traditional), Breakfast & Brunch, Restaurants",Las Vegas,7:0-19:0,7:0-14:30,7:0-14:30,7:0-14:30,7:0-19:0,7:0-19:0,7:0-19:0,36.2019904392,-115.283122245,Omelet House Summerlin,Summerlin,89128,242,4.0,NV,False,False,False,False,False,False,False,True,False,False,True,False,True,True,False,False,False,False,False,2 days 22:30:00.000000000,5.0,0.0,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,29.0,24.0,188.0
1,1910 Village Center Cir,True,True,True,,True,,True,True,True,True,False,True,True,True,FW_zg6VuyW5v_vM394gWAw,"Restaurants, Italian, Pizza, Food",Las Vegas,11:0-22:0,11:0-21:0,11:0-22:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,36.1931766054,-115.30422590100001,Rocco's NY Pizzeria,Summerlin,89134,121,3.5,NV,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False,3 days 00:00:00.000000000,0.0,5.0,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,25.0,18.0,78.0
2,3200 Las Vegas Blvd S,False,True,True,False,True,True,True,True,True,True,True,True,True,False,LFs5jyYdXlzi0SpAYi1eSA,"Restaurants, Bars, Nightlife, Italian",Las Vegas,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,36.127783,-115.168968,Maggiano's Little Italy,The Strip,89109,1377,4.0,NV,False,False,False,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,3 days 12:00:00.000000000,0.0,5.0,2.0,False,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,151.0,113.0,1113.0
3,"10690 Southern Highlands Pkwy, Ste 104",,True,,,True,,,,,True,True,True,,,cJMgxJ_GDg0a1KEkXPVaug,"Restaurants, Italian",Las Vegas,,,,,,,,35.9952905,-115.2068006,Nicolo's Cucina Italiana,Southwest,89141,9,3.0,NV,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,3.0,0.0,6.0
4,9500 W Sahara Ave,True,True,True,,True,,True,True,False,True,True,True,True,True,DLJCwHGtbAV31UQ1lnIjlw,"Italian, Delis, Bakeries, Food, Restaurants",Las Vegas,8:0-0:0,8:0-22:0,8:0-0:0,8:0-22:0,8:0-23:0,8:0-22:0,8:0-22:0,36.1449499,-115.301818,Siena Italian Authentic Trattoria and Deli,Westside,89117,330,3.5,NV,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,4 days 07:00:00.000000000,5.0,5.0,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,50.0,36.0,244.0
5,", 3930 Las Vegas Blvd S",,True,,,True,,,False,False,True,True,True,True,True,McZz8few5LqWF37KZTK_QA,"Restaurants, Italian",Las Vegas,11:30-22:0,11:30-22:0,0:0-22:0,0:0-22:0,11:30-22:0,23:30-22:0,11:30-22:0,36.089494,-115.138026,Giorgio Ristorante E Caffe,Southeast,89119,29,3.5,NV,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,4 days 12:30:00.000000000,0.0,5.0,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,5.0,4.0,20.0
6,5025 S Eastern Ave,False,True,True,,True,,True,False,True,True,True,True,True,,IO3iTBH0rX-G7E7wAreRSQ,"Burgers, Restaurants, Sandwiches, Italian, Pizza",Las Vegas,10:0-4:0,10:0-3:0,10:0-4:0,10:0-3:0,10:0-3:0,10:0-3:0,10:0-3:0,36.0976114,-115.1196648,Angelina's Pizzeria - Eastern,Southeast,89119,125,3.0,NV,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,True,False,5 days 01:00:00.000000000,0.0,5.0,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,44.0,22.0,59.0
7,"3390 Novat St, Ste 120",True,True,,,True,,True,False,True,True,False,False,True,,JCiglfoF09JqfR_gn6XYcA,"Pizza, Italian, Restaurants",Las Vegas,11:0-22:0,11:0-21:0,11:0-22:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,36.2216289,-115.32906090000002,Vit's Pizza,Northwest,89129,18,2.5,NV,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False,3 days 00:00:00.000000000,0.0,5.0,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,2.0,2.0,14.0
8,"9730 W Tropicana Ave, Ste 140",True,True,True,,True,,True,False,True,True,True,True,True,True,4EfiNcKSsafogIhAjwv0gg,"Italian, Restaurants, Pizza",Las Vegas,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,36.1003949,-115.3047985,Rustica Pizzeria,Spring Valley,89147,155,4.0,NV,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False,2 days 22:00:00.000000000,0.0,5.0,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,32.0,12.0,111.0
9,5447 S Rainbow Blvd,True,True,True,,True,,True,True,True,True,False,False,True,True,KyzPvdGPb2ubVlXJrS2QPA,"Restaurants, Sandwiches, Pizza, Food Delivery Services, Food, Italian",Las Vegas,11:0-0:0,11:0-22:0,12:0-0:0,12:0-23:0,11:0-22:0,11:0-22:0,11:0-22:0,36.0900715,-115.2439023,Pizzalicious,Spring Valley,89118,171,4.5,NV,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False,3 days 08:00:00.000000000,0.0,5.0,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,14.0,19.0,138.0
10,11011 W Charleston Blvd,True,True,False,False,False,True,True,True,False,True,True,True,True,True,RodA_gxhr2Mj-pyQAL2RAQ,"Bars, Italian, Nightlife, Wine Bars, Restaurants",Las Vegas,17:0-23:0,17:0-22:0,17:0-23:0,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0,36.156400700000006,-115.33355520000002,Salute Trattoria Italiana,South Summerlin,89135,264,3.5,NV,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,1 days 13:00:00.000000000,0.0,5.0,2.0,True,False,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True,False,39.0,26.0,200.0
11,8615 W Sahara Ave,,True,True,,False,,False,True,False,True,True,True,False,True,nK7JeIqdBli3umEhBIh33g,"Italian, Restaurants",Las Vegas,,,,,,,,36.1439829,-115.2796682,Lucio Ristorante,The Lakes,89117,32,4.0,NV,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,1.0,3.0,28.0
12,6050 Sky Pointe Dr,False,True,True,,False,,True,False,True,True,True,True,True,True,83C5ysOCnmNGB_fDsVdr9Q,"Burgers, Restaurants, Pizza, Italian",Las Vegas,10:0-1:45,10:0-1:45,10:0-1:45,10:0-1:45,10:0-1:45,10:0-1:45,10:0-1:45,36.2714829,-115.2605999,Brothers Italian Bistro,Centennial,89130,36,2.5,NV,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,4 days 14:15:00.000000000,0.0,5.0,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,13.0,4.0,19.0
13,"400 S Rampart Blvd, Ste 165",True,True,False,,True,,False,True,False,True,False,True,True,,2SfSzEd3B7WimeZac23zhg,"Cafes, Restaurants, Coffee & Tea, Food, Breakfast & Brunch, Italian",Las Vegas,7:0-22:0,7:0-21:0,7:0-22:0,7:0-21:0,7:0-21:0,7:0-21:0,7:0-21:0,36.166996958,-115.286524787,Leoné Café,Westside,89144,627,4.0,NV,False,False,False,False,False,False,False,True,True,False,True,False,True,True,True,False,False,False,False,4 days 04:00:00.000000000,5.0,5.0,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,49.0,45.0,533.0
14,9777 S Las Vegas Blvd,False,True,False,,False,,False,False,False,True,True,True,False,True,xvfAxe6F0azYjfLSm8ISMA,"Italian, Restaurants",Las Vegas,17:0-23:0,17:0-22:0,17:0-23:0,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0,36.011877,-115.175816,Don Vito's Italian,Southeast,89183,155,3.5,NV,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,1 days 13:00:00.000000000,0.0,5.0,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,17.0,19.0,119.0
15,1955 E Tropicana Ave,True,True,True,,True,,True,False,False,True,True,True,True,True,VYNriOotbFZ7Qj_6jwUB5g,"Restaurants, Italian, Venues & Event Spaces, Event Planning & Services, Caterers",Las Vegas,15:0-23:0,15:0-22:0,16:0-23:0,16:0-23:0,15:0-22:0,15:0-22:0,15:0-22:0,36.100414,-115.12658290000002,Sergio's Italian Gardens,Eastside,89119,147,4.0,NV,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,2 days 02:00:00.000000000,0.0,5.0,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,17.0,17.0,113.0
16,3585 S Durango Dr,True,True,True,,False,,False,True,True,False,False,False,True,False,i53HvxUdQEMllZ1XmpjjyA,"Chicken Wings, Italian, Restaurants, Pizza",Las Vegas,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,36.1247923,-115.2799153,Sicily's Pizza,Spring Valley,89147,333,2.0,NV,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,0 days 00:00:00.000000000,5.0,5.0,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,186.0,51.0,96.0
