business_id,name,city,neighborhood,latitude,longitude,cuisine,RestaurantsPriceRange2,stars,Buffet/Atmosphere,Chicken/Soup,Dim Sum,Order/Waiting Time,Ginger Beef/Pork,Customer Service
0gVPTer9PnXRmSjuHt-XgQ,Silver Inn Restaurant,Calgary,,51.07623243689999,-114.062241015,chinese,2.0,2.0,0.38427139073189437,0.17796099071270371,0.021334559875088935,0.021309121881073367,0.39512393679923974,0.0
1jxxXQYOdP91LkF2Mz9Q9Q,Golden Village Restaurant,Calgary,,50.9154805,-114.0632463,chinese,1.0,1.0,0.2756276811848586,0.040521635716006206,0.0007713210446882398,0.5078289909191841,0.08058674228052227,0.09466362885474051
2-l_q7HBRak5i6X46l0OHw,The Dessert House,Calgary,,51.050889,-114.061939,chinese,2.0,2.0,0.18980323395549215,0.0,0.0022403723696966115,0.5719495865228347,0.005815944053646661,0.23019086309833003
21aDJ_xLGcEDkcyQRexlOQ,Hawkwood Palace Restaurant,Calgary,,51.129661337799995,-114.177907445,chinese,2.0,1.8333333333333333,0.19849037957897053,0.07613983260928668,0.0347918630565258,0.3133354118819003,0.32201580592618034,0.05522670694713643
2M3tt_0FfsDiy-DDWIH4dg,Top Brass Restaurant & Cocktail Lounge,Calgary,,51.08047929999999,-114.0173933,american,1.0,1.0,0.06149559527555022,0.0,0.12404313377925054,0.6736444283056954,0.03794570813941456,0.10287113450008928
2M3tt_0FfsDiy-DDWIH4dg,Top Brass Restaurant & Cocktail Lounge,Calgary,,51.08047929999999,-114.0173933,chinese,1.0,1.0,0.06149559527555022,0.0,0.12404313377925054,0.6736444283056954,0.03794570813941456,0.10287113450008928
2e19A9GaSfor4HQc0jxe4Q,Central Grand Restaurant,Calgary,,51.0666394,-114.06358119999999,chinese,2.0,2.0,0.19264566518607457,0.036662766336404494,0.3074686205591917,0.11461375312508833,0.019808675590190276,0.32880051920305065
30QeX9bXmjYqrhZlpomFsw,Pearl Express Take-Out & Delivery,Calgary,,51.018942200000005,-114.1557699,chinese,2.0,2.0,0.0,0.25645578346176,0.0,0.0,0.74354421653824,0.0
3C3mydBzZmfzzIt5D5_kOA,China Rose Restaurant,Calgary,,51.050224,-113.99266000000001,chinese,2.0,1.8333333333333333,0.21858265830082121,0.39223765566811747,0.015243251728650287,0.100466963863368,0.1441727833654294,0.12929668707361364
3DXJ7lXJJKHPnydtX_1Mug,Fat Kee Noodle House,Calgary,,51.080094,-113.9973646,chinese,1.0,1.8333333333333333,0.15730522068825006,0.3857166836466482,0.010633995957649252,0.24489419436598658,0.058546867771537066,0.1429030375699288
3pTp_EDVffBFTUNKCOXjdw,New Dynasty Buffet Restaurant,Calgary,,51.047310467200006,-113.990063764,chinese,2.0,1.8,0.629719093206466,0.03298069783487053,0.03797550434356228,0.11053506800366955,0.003094238832035976,0.1856953977793955
43V5SUyC04za5ITSvRndog,Great Taste Chinese Restaurant,Calgary,,51.0510605,-114.061304,chinese,2.0,1.3333333333333333,0.20171247414185145,0.022998876976574257,0.029868226908084262,0.2979435218807444,0.2578724307576417,0.18960446933510391
4e_kgP5CBbWwZCYEbConPA,Oriental Phoenix Restaurant,Calgary,,51.0022435,-114.0639736,chinese,2.0,1.75,0.09371102945444987,0.313321227080515,0.0,0.11104328786779179,0.1808302005391028,0.3010942550581406
5-o1J6VpLHxxmP7yAtx8kw,Soluxe,Calgary,,51.0502214,-114.0627067,chinese,2.0,1.0,0.2887025057956901,0.04207395517341231,0.04659998529639788,0.3421824000832352,0.015387113725322726,0.2650540399259416
5kr-0TOY6n0GK-riRg_08A,August Moon,Calgary,,50.968875,-114.084553,chinese,2.0,2.0,0.08762744898736394,0.6323028216119562,0.02128157779802966,0.10184733111103282,0.08291238183555007,0.07402843865606734
5yhUr1Cv21bOL6ZkE5IdCQ,Ho Won Restaurant,Calgary,,51.0509282,-114.06172620000001,chinese,2.0,1.5714285714285714,0.11918263734860177,0.08655919776444176,0.09490236955147367,0.27975888514574576,0.07805219206750988,0.3415447181222272
60N3AE5ECo5lUp5tSuPvvw,Flamingo Palace Express,Calgary,,51.089136700000005,-114.11799369999999,chinese,2.0,1.5,0.7278399449534376,0.025627555053139392,0.15713760184339648,0.08939489815002652,0.0,0.0
6Bvu4_7hdQkwMC5SyQspEQ,Home Food Inn Peking Cuisine,Calgary,,51.0078118412,-114.067958745,chinese,2.0,2.25,0.2517807502617354,0.27765731349234396,0.01281836309293632,0.2559235615380774,0.07327173820374853,0.1285482734111585
6YRlDV4Em4Ms9CXRWoVo6g,Treasures of China,Calgary,,50.969646999999995,-114.06913999999999,chinese,2.0,1.4,0.3407588587091744,0.09988059049441124,0.053097944258528075,0.25845422636759424,0.09481512382079771,0.15299325634949437
