address,AcceptsInsurance,AgesAllowed,Alcohol,Ambience,BYOB,BYOBCorkage,BestNights,BikeParking,BusinessAcceptsBitcoin,BusinessAcceptsCreditCards,BusinessParking,ByAppointmentOnly,Caters,CoatCheck,Corkage,DietaryRestrictions,DogsAllowed,DriveThru,GoodForDancing,GoodForKids,GoodForMeal,HairSpecializesIn,HappyHour,HasTV,Music,NoiseLevel,Open24Hours,OutdoorSeating,RestaurantsAttire,RestaurantsCounterService,RestaurantsDelivery,RestaurantsGoodForGroups,RestaurantsPriceRange2,RestaurantsReservations,RestaurantsTableService,RestaurantsTakeOut,Smoking,WheelchairAccessible,WiFi,business_id,categories,city,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,is_open,latitude,longitude,name,neighborhood,postal_code,review_count,state,cuisine,negative_reviews,neutral_reviews,positive_reviews,stars
2201 S Fort Apache Rd,,,full_bar,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",,,,True,,True,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",,False,,,,,,,True,"{'dessert': False, 'latenight': True, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}",,,True,,average,,True,casual,,False,True,2.0,True,True,True,,True,no,XeDLyY2a7nZ3IEY4RYslXA,"American (New), Restaurants, Food, Breweries, Brewpubs",Las Vegas,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,1,36.147496,-115.2980657,Chicago Brewing Company,Westside,89117,446,NV,american,63.0,49.0,334.0,3.587443946188341
"6605 S Las Vegas Blvd, Ste 145",,,full_bar,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': True, 'upscale': False, 'casual': False}",,,"{'monday': False, 'tuesday': True, 'friday': False, 'wednesday': True, 'thursday': True, 'sunday': False, 'saturday': False}",,,True,"{'garage': True, 'street': True, 'validated': False, 'lot': True, 'valet': False}",,,False,,,,,True,False,"{'dessert': False, 'latenight': True, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}",,True,True,"{'dj': True, 'background_music': True, 'no_music': False, 'karaoke': False, 'live': False, 'video': False, 'jukebox': False}",average,,True,casual,,False,True,3.0,True,True,True,yes,True,no,stbX9rtRIpDF-VymOwHJ8w,"Hookah Bars, Bars, Mediterranean, Nightlife, American (New), Restaurants, American (Traditional)",Las Vegas,17:0-4:30,17:0-0:0,17:0-4:30,,17:0-5:0,17:0-1:0,17:0-4:0,0,36.0687779,-115.1768402,Nu Sanctuary Lounge,Southeast,89119,69,NV,american,16.0,9.0,44.0,2.536231884057971
"4225 E Sahara Ave, Ste 6",,,none,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",,,,True,,True,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",,True,,,,,,,True,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': True}",,,True,,quiet,,False,casual,,True,True,1.0,False,True,True,,True,no,Vn-Xqc1qkF1Vh2Z-wHkBVw,"Breakfast & Brunch, Restaurants, Sandwiches, American (New)",Las Vegas,8:0-18:0,9:0-18:0,8:0-18:0,,8:0-18:0,8:0-18:0,8:0-18:0,1,36.143775,-115.082142,Bagels And Subs,Sunrise,89104,21,NV,american,,1.0,20.0,4.619047619047619
"6700 W Charleston Blvd, Unit C",,,none,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': True, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}",,,,True,,True,"{'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,True,,,,,,,True,"{'dessert': True, 'latenight': True, 'lunch': False, 'dinner': True, 'breakfast': False, 'brunch': False}",,,False,,quiet,,False,casual,,True,True,1.0,False,True,True,,True,free,xd-AnaGxEMKT2zTEheP6_w,"American (New), Restaurants, American (Traditional)",Las Vegas,16:30-4:0,16:30-4:0,16:30-4:0,16:30-4:0,16:30-4:0,16:30-4:0,16:30-4:0,0,36.15962,-115.2425364,Tony Marcs 420 Eats,Westside,89146,127,NV,american,18.0,17.0,92.0,3.9921259842519685
"7160 North Durango Dr, Ste 110",,,beer_and_wine,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",,,,True,,True,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",,True,,,,,,,True,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': False}",,,True,,average,,True,casual,,False,True,2.0,True,False,True,,,no,w55IYhyLHUdsRlo_EvMmNQ,"Salad, American (New), Pizza, Sandwiches, Restaurants",Las Vegas,12:0-20:0,12:0-20:0,12:0-20:0,,12:0-20:0,12:0-20:0,12:0-20:0,0,36.2914365,-115.2870159,Table 89,Centennial,89149,79,NV,american,15.0,8.0,56.0,3.2658227848101267
6689 Las Vegas Blvd,,,beer_and_wine,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",,,,True,,True,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,False,False,,,,,False,False,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': False}",,True,True,"{'dj': False, 'background_music': False, 'no_music': False, 'karaoke': False, 'live': True, 'video': False, 'jukebox': False}",average,,False,casual,,False,True,2.0,False,True,True,,,free,VWnMgGRexZMGFs7IrQR_9Q,"Wine Bars, Beer Bar, Restaurants, American (New), Nightlife, Bars, Salad",Las Vegas,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,1,36.067581,-115.17423,LV bar,Southeast,89119,22,NV,american,,2.0,20.0,4.5
6683 Las Vegas Blvd S,,,full_bar,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",,,"{'monday': True, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': False, 'sunday': False, 'saturday': True}",True,,True,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",,False,False,,,,,False,True,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}",,True,True,"{'dj': False, 'background_music': False, 'no_music': False, 'karaoke': False, 'live': False, 'video': False, 'jukebox': False}",average,,True,casual,,False,True,2.0,True,True,True,outdoor,True,free,VGWEpMEkzQopS5lUNd06Sw,"Restaurants, Bars, Nightlife, American (New), Seafood, American (Traditional), Sports Bars",Las Vegas,11:0-2:0,11:0-0:0,11:0-2:0,11:0-0:0,11:0-2:0,11:0-0:0,11:0-0:0,1,36.0661824639,-115.17528754700001,Miller's Ale House - Las Vegas,Southeast,89119,583,NV,american,94.0,67.0,421.0,3.4673539518900345
"6430 N Durango Dr, Ste 110",,,full_bar,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",,,"{'monday': False, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': True, 'sunday': False, 'saturday': True}",True,,True,"{'garage': True, 'street': False, 'validated': False, 'lot': True, 'valet': False}",,False,False,,,,,False,False,"{'dessert': False, 'latenight': True, 'lunch': True, 'dinner': True, 'breakfast': True, 'brunch': True}",,True,True,"{'dj': False, 'background_music': False, 'no_music': False, 'karaoke': False, 'live': False, 'video': False, 'jukebox': False}",average,,False,casual,,False,True,2.0,False,True,True,yes,,free,vFfU79z5a5jQaQA_ka2ftA,"Breakfast & Brunch, Bars, Food, American (New), Nightlife, Cocktail Bars, Restaurants, Desserts",Las Vegas,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,1,36.2777832,-115.2863335,Distill - A Local Bar,Centennial,89149,203,NV,american,30.0,20.0,153.0,3.9113300492610836
3340 S Maryland,,,full_bar,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",,,"{'monday': False, 'tuesday': False, 'friday': False, 'wednesday': False, 'thursday': True, 'sunday': True, 'saturday': True}",True,,True,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",,False,False,,,False,False,False,True,"{'dessert': True, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}",,True,True,"{'dj': False, 'background_music': False, 'no_music': False, 'karaoke': False, 'live': False, 'video': False, 'jukebox': False}",average,,False,casual,,False,True,2.0,False,True,True,no,True,free,Wg91oE233AzNieNryRJYYg,"Burgers, American (New), American (Traditional), Bars, Nightlife, Restaurants, Sports Bars, Steakhouses",Las Vegas,11:0-0:0,11:0-0:0,11:0-0:0,11:0-0:0,11:0-0:0,11:0-0:0,11:0-0:0,1,36.12920857,-115.1369381,Applebee's Grill + Bar,Eastside,89169,130,NV,american,49.0,12.0,69.0,2.746153846153846
4830 W Pyle Ave,,,full_bar,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",,,"{'monday': False, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': False, 'sunday': True, 'saturday': True}",True,,True,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",,False,False,,,,,False,False,"{'dessert': False, 'latenight': True, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}",,True,True,"{'dj': False, 'background_music': False, 'no_music': False, 'karaoke': False, 'live': False, 'video': False, 'jukebox': False}",average,,False,casual,,False,True,2.0,False,True,True,yes,,free,mwE5uNVkxCXvEuVa1KQ_3g,"Restaurants, Beer, Wine & Spirits, American (New), Food, Nightlife, Bars",Las Vegas,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,1,36.006571,-115.20638,Distill - A Local Bar,Southwest,89141,300,NV,american,38.0,32.0,230.0,3.8766666666666665
