address,BikeParking,BusinessAcceptsCreditCards,Caters,CoatCheck,GoodForKids,HappyHour,HasTV,OutdoorSeating,RestaurantsDelivery,RestaurantsGoodForGroups,RestaurantsReservations,RestaurantsTableService,RestaurantsTakeOut,WheelchairAccessible,business_id,categories,city,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,latitude,longitude,name,neighborhood,postal_code,review_count,state,cuisine,cat,cat_Calgary_american_1.0,cat_Calgary_american_2.0,cat_Calgary_american_3.0,cat_Calgary_american_4.0,cat_Calgary_american_nan,cat_Calgary_chinese_1.0,cat_Calgary_chinese_2.0,cat_Calgary_chinese_3.0,cat_Calgary_chinese_nan,cat_Calgary_italian_1.0,cat_Calgary_italian_2.0,cat_Calgary_italian_3.0,cat_Calgary_italian_4.0,cat_Calgary_italian_nan,cat_Las Vegas_american_1.0,cat_Las Vegas_american_2.0,cat_Las Vegas_american_3.0,cat_Las Vegas_american_4.0,cat_Las Vegas_american_nan,cat_Las Vegas_chinese_1.0,cat_Las Vegas_chinese_2.0,cat_Las Vegas_chinese_3.0,cat_Las Vegas_chinese_4.0,cat_Las Vegas_chinese_nan,cat_Las Vegas_italian_1.0,cat_Las Vegas_italian_2.0,cat_Las Vegas_italian_3.0,cat_Las Vegas_italian_4.0,cat_Las Vegas_italian_nan,cat_Toronto_american_1.0,cat_Toronto_american_2.0,cat_Toronto_american_3.0,cat_Toronto_american_4.0,cat_Toronto_american_nan,cat_Toronto_chinese_1.0,cat_Toronto_chinese_2.0,cat_Toronto_chinese_3.0,cat_Toronto_chinese_4.0,cat_Toronto_chinese_nan,cat_Toronto_italian_1.0,cat_Toronto_italian_2.0,cat_Toronto_italian_3.0,cat_Toronto_italian_4.0,cat_Toronto_italian_nan,negative_reviews,neutral_reviews,positive_reviews,stars,ambience_romantic,ambience_intimate,ambience_classy,ambience_hipster,ambience_touristy,ambience_trendy,ambience_upscale,ambience_casual,good_for_dessert,good_for_latenight,good_for_lunch,good_for_dinner,good_for_breakfast,good_for_brunch,parking_garage,parking_street,parking_validated,parking_lot,parking_valet,TotalOpenTimeInWeek,NumberOfWeekdaysWithEarlyOpening,NumberOfWeekdaysWithLateClosing,OpenOnWeekends,bestnight_monday,bestnight_tuesday,bestnight_wednesday,bestnight_thursday,bestnight_friday,bestnight_saturday,bestnight_sunday,music_dj,music_background_music,music_no_music,music_karaoke,music_live,music_video,music_jukebox,full_bar,beer_and_wine,no_alcohol,smoking_outdoor,smoking_no,smoking_yes,wifi_free,wifi_no,wifi_paid,noise_average,noise_loud,noise_quiet,noise_very_loud,price_range_1,price_range_2,price_range_3,price_range_4,attire_casual,attire_dressy
2201 S Fort Apache Rd,True,True,False,,True,,True,True,False,True,True,True,True,True,XeDLyY2a7nZ3IEY4RYslXA,"American (New), Restaurants, Food, Breweries, Brewpubs",Las Vegas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.147496000000004,-115.29806570000001,Chicago Brewing Company,Westside,89117,446,NV,american,Las Vegas_american_2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.0,49.0,334.0,3.5874439461883414,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,False,True,False,0.0,5.0,5.0,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False
"6605 S Las Vegas Blvd, Ste 145",,True,,False,False,True,True,True,False,True,True,True,True,True,stbX9rtRIpDF-VymOwHJ8w,"Hookah Bars, Bars, Mediterranean, Nightlife, American (New), Restaurants, American (Traditional)",Las Vegas,11.5,7.0,11.5,0.0,12.0,8.0,11.0,36.0687779,-115.1768402,Nu Sanctuary Lounge,Southeast,89119,69,NV,american,Las Vegas_american_3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0,9.0,44.0,2.5362318840579707,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,True,False,61.0,0.0,4.0,0.0,False,True,True,True,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False
"4225 E Sahara Ave, Ste 6",True,True,True,,True,,True,False,True,True,False,True,True,True,Vn-Xqc1qkF1Vh2Z-wHkBVw,"Breakfast & Brunch, Restaurants, Sandwiches, American (New)",Las Vegas,10.0,9.0,10.0,0.0,10.0,10.0,10.0,36.143775,-115.08214199999999,Bagels And Subs,Sunrise,89104,21,NV,american,Las Vegas_american_1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,20.0,4.6190476190476195,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,59.0,4.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
"6700 W Charleston Blvd, Unit C",True,True,True,,True,,False,False,True,True,False,True,True,True,xd-AnaGxEMKT2zTEheP6_w,"American (New), Restaurants, American (Traditional)",Las Vegas,11.5,11.5,11.5,11.5,11.5,11.5,11.5,36.159620000000004,-115.2425364,Tony Marcs 420 Eats,Westside,89146,127,NV,american,Las Vegas_american_1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0,17.0,92.0,3.992125984251969,False,False,False,False,False,False,False,False,True,True,False,True,False,False,True,False,False,False,False,80.5,0.0,5.0,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
"7160 North Durango Dr, Ste 110",True,True,True,,True,,True,True,False,True,True,False,True,,w55IYhyLHUdsRlo_EvMmNQ,"Salad, American (New), Pizza, Sandwiches, Restaurants",Las Vegas,8.0,8.0,8.0,0.0,8.0,8.0,8.0,36.291436499999996,-115.2870159,Table 89,Centennial,89149,79,NV,american,Las Vegas_american_2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,8.0,56.0,3.2658227848101267,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,48.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False
6689 Las Vegas Blvd,True,True,False,False,False,True,True,False,False,True,False,True,True,,VWnMgGRexZMGFs7IrQR_9Q,"Wine Bars, Beer Bar, Restaurants, American (New), Nightlife, Bars, Salad",Las Vegas,10.0,10.0,10.0,10.0,10.0,10.0,10.0,36.067581,-115.17423000000001,LV bar,Southeast,89119,22,NV,american,Las Vegas_american_2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,20.0,4.5,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,70.0,0.0,5.0,2.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
6683 Las Vegas Blvd S,True,True,False,False,True,True,True,True,False,True,True,True,True,True,VGWEpMEkzQopS5lUNd06Sw,"Restaurants, Bars, Nightlife, American (New), Seafood, American (Traditional), Sports Bars",Las Vegas,15.0,13.0,15.0,13.0,15.0,13.0,13.0,36.0661824639,-115.17528754700001,Miller's Ale House - Las Vegas,Southeast,89119,583,NV,american,Las Vegas_american_2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.0,67.0,421.0,3.4673539518900345,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False,97.0,0.0,5.0,2.0,True,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
"6430 N Durango Dr, Ste 110",True,True,False,False,False,True,True,False,False,True,False,True,True,,vFfU79z5a5jQaQA_ka2ftA,"Breakfast & Brunch, Bars, Food, American (New), Nightlife, Cocktail Bars, Restaurants, Desserts",Las Vegas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.2777832,-115.2863335,Distill - A Local Bar,Centennial,89149,203,NV,american,Las Vegas_american_2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0,20.0,153.0,3.911330049261084,False,False,False,False,False,False,False,True,False,True,True,True,True,True,True,False,False,True,False,0.0,5.0,5.0,2.0,False,False,False,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False
3340 S Maryland,True,True,False,False,True,True,True,False,False,True,False,True,True,True,Wg91oE233AzNieNryRJYYg,"Burgers, American (New), American (Traditional), Bars, Nightlife, Restaurants, Sports Bars, Steakhouses",Las Vegas,13.0,13.0,13.0,13.0,13.0,13.0,13.0,36.12920857,-115.13693810000001,Applebee's Grill + Bar,Eastside,89169,130,NV,american,Las Vegas_american_2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.0,12.0,69.0,2.7461538461538457,False,False,False,False,False,False,False,True,True,False,True,True,False,False,False,False,False,True,False,91.0,0.0,5.0,2.0,False,False,False,True,False,True,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False
4830 W Pyle Ave,True,True,False,False,False,True,True,False,False,True,False,True,True,,mwE5uNVkxCXvEuVa1KQ_3g,"Restaurants, Beer, Wine & Spirits, American (New), Food, Nightlife, Bars",Las Vegas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.006571,-115.20638000000001,Distill - A Local Bar,Southwest,89141,300,NV,american,Las Vegas_american_2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.0,32.0,230.0,3.8766666666666665,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,False,True,False,0.0,5.0,5.0,2.0,False,False,False,False,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False
