business_id,label,size
--SrzpvFLwP_YFwB_Cetow,-1,7
--SrzpvFLwP_YFwB_Cetow,0,3
--SrzpvFLwP_YFwB_Cetow,1,34
-1m9o3vGRA8IBPNvNqKLmA,-1,2
-1m9o3vGRA8IBPNvNqKLmA,0,12
-1m9o3vGRA8IBPNvNqKLmA,1,153
-3zffZUHoY8bQjGfPSoBKQ,-1,64
-3zffZUHoY8bQjGfPSoBKQ,0,41
-3zffZUHoY8bQjGfPSoBKQ,1,511
-7-uHFjQLH_uxPauYtd8iA,-1,2
-7-uHFjQLH_uxPauYtd8iA,0,3
-7-uHFjQLH_uxPauYtd8iA,1,10
-CLTZ0cO-ooKDDmXHFoGMg,-1,8
-CLTZ0cO-ooKDDmXHFoGMg,0,9
-CLTZ0cO-ooKDDmXHFoGMg,1,57
-CQokjildrY7UZezXCdEBw,-1,2
-CQokjildrY7UZezXCdEBw,0,3
-CQokjildrY7UZezXCdEBw,1,36
-D2vGSq_SvuCmHdqsDxzeA,-1,6
-D2vGSq_SvuCmHdqsDxzeA,0,2
-D2vGSq_SvuCmHdqsDxzeA,1,24
-EohS3nXZGl6odE9Lx5BSw,-1,7
-EohS3nXZGl6odE9Lx5BSw,0,1
-EohS3nXZGl6odE9Lx5BSw,1,2
-FcZY7a7qgxTUlTvwuyJnQ,-1,44
-FcZY7a7qgxTUlTvwuyJnQ,0,39
-FcZY7a7qgxTUlTvwuyJnQ,1,153
-FlrlELIGmCqdt_JxbdFgg,-1,5
-FlrlELIGmCqdt_JxbdFgg,0,1
-FlrlELIGmCqdt_JxbdFgg,1,3
-Fq75GKdSKwhTVISzyc6rw,0,4
-Fq75GKdSKwhTVISzyc6rw,1,14
-JfncbVURtvuzBbof40o1w,-1,41
-JfncbVURtvuzBbof40o1w,0,27
-JfncbVURtvuzBbof40o1w,1,72
-L88B-PrtzwujhLuYc2k_g,-1,24
-L88B-PrtzwujhLuYc2k_g,0,17
-L88B-PrtzwujhLuYc2k_g,1,77
-M9S1wlZTvv6T9EOo5X2Yw,-1,19
-M9S1wlZTvv6T9EOo5X2Yw,0,3
-M9S1wlZTvv6T9EOo5X2Yw,1,32
-NjZ5HZApXjRJaTVZeSO_w,-1,6
-NjZ5HZApXjRJaTVZeSO_w,0,4
-NjZ5HZApXjRJaTVZeSO_w,1,20
-OEIW0dO96-492qa_luxaw,-1,22
-OEIW0dO96-492qa_luxaw,0,25
-OEIW0dO96-492qa_luxaw,1,222
-PGsEXB6DFTVKa1eDOlzWA,-1,39
-PGsEXB6DFTVKa1eDOlzWA,0,23
-PGsEXB6DFTVKa1eDOlzWA,1,135
-Pv-3Moxm6is6COkQIA7Kg,-1,1
-Pv-3Moxm6is6COkQIA7Kg,0,2
-Pv-3Moxm6is6COkQIA7Kg,1,6
-SGZcGqnsp_uRIjKP2RGZg,-1,1
-SGZcGqnsp_uRIjKP2RGZg,1,8
-TSAXAz0CeNv73OAh9wu2A,-1,5
-TSAXAz0CeNv73OAh9wu2A,0,5
-TSAXAz0CeNv73OAh9wu2A,1,19
-TjzQsimpriXVYaH3HdtQA,-1,15
-TjzQsimpriXVYaH3HdtQA,0,14
-TjzQsimpriXVYaH3HdtQA,1,117
-U7tvCtaraTQ9b0zBhpBMA,-1,320
-U7tvCtaraTQ9b0zBhpBMA,0,191
-U7tvCtaraTQ9b0zBhpBMA,1,585
-UPP0Q_kZsuQ2zZ1k7lbyQ,-1,7
-UPP0Q_kZsuQ2zZ1k7lbyQ,0,2
-UPP0Q_kZsuQ2zZ1k7lbyQ,1,22
-UtYWvCnUppcSaC_u1pTYQ,-1,1
-UtYWvCnUppcSaC_u1pTYQ,1,3
-W1bYeAk18xShlb6_Yb2Ig,-1,9
-W1bYeAk18xShlb6_Yb2Ig,0,1
-W1bYeAk18xShlb6_Yb2Ig,1,23
-W32WHlviv5JAmrYBXEF7A,-1,2
-W32WHlviv5JAmrYBXEF7A,0,1
-W32WHlviv5JAmrYBXEF7A,1,5
-YWr1wm_NaAlgEf9TZzsMQ,-1,47
-YWr1wm_NaAlgEf9TZzsMQ,0,13
-YWr1wm_NaAlgEf9TZzsMQ,1,40
-Ylpy3VyRWwubf9dysuwjQ,-1,108
-Ylpy3VyRWwubf9dysuwjQ,0,72
-Ylpy3VyRWwubf9dysuwjQ,1,456
-Z7Oxv9nuPJI4ov4ufvvdA,1,3
-_yEVC3_3M6YOsamYfNFEw,-1,37
-_yEVC3_3M6YOsamYfNFEw,0,24
-_yEVC3_3M6YOsamYfNFEw,1,133
-a857YYdjzgOdOjFFRsRXQ,-1,81
-a857YYdjzgOdOjFFRsRXQ,0,49
-a857YYdjzgOdOjFFRsRXQ,1,319
-b-waFIsc6BJdXWOJMRKEQ,-1,3
-b-waFIsc6BJdXWOJMRKEQ,0,6
-b-waFIsc6BJdXWOJMRKEQ,1,105
-cYOKJ5kbVZqzSYQIzZcqA,-1,5
-cYOKJ5kbVZqzSYQIzZcqA,0,4
-ccmPDvaDFx5TbdKB1rgCA,-1,1
-ccmPDvaDFx5TbdKB1rgCA,0,1
-ccmPDvaDFx5TbdKB1rgCA,1,5
-cuzw1pcZ_UcdA4Qxc5YYg,0,1
-cuzw1pcZ_UcdA4Qxc5YYg,1,7
-dOjdFq-kFhQTrG-yLYc_w,-1,4
-dOjdFq-kFhQTrG-yLYc_w,0,5
-dOjdFq-kFhQTrG-yLYc_w,1,64
-dWbB9wKYsH-HESAANWajw,-1,7
-dWbB9wKYsH-HESAANWajw,0,3
-dWbB9wKYsH-HESAANWajw,1,46
-gXDD2oSHBDA3zgjX6g9pQ,-1,4
-gXDD2oSHBDA3zgjX6g9pQ,0,1
-gXDD2oSHBDA3zgjX6g9pQ,1,17
-hBRP99YCr_8Xb8WG5YQmg,-1,8
-hBRP99YCr_8Xb8WG5YQmg,0,8
-hBRP99YCr_8Xb8WG5YQmg,1,26
-kbPPBNsIPDfMfgUGO7QhA,-1,3
-kbPPBNsIPDfMfgUGO7QhA,0,3
-kbPPBNsIPDfMfgUGO7QhA,1,18
-kv7Uaf2hCtRCio8uESgwg,0,1
-kv7Uaf2hCtRCio8uESgwg,1,2
