business_id,name,city,neighborhood,latitude,longitude,cuisine,RestaurantsPriceRange2,stars,Waiting Time,Chicken/Sandwich,Beer/Bar/Drinks,Burger/Fries,Wings/Sauce,Customer Service
-TjzQsimpriXVYaH3HdtQA,Fanzone Wings & Ribs,Toronto,Scarborough,43.7530567,-79.27623359999998,american,2.0,2.8,0.1852362914710167,0.03965041710964378,0.1500380992731681,0.012769222894770439,0.5581365373222931,0.05416943192910799
-W1bYeAk18xShlb6_Yb2Ig,Ciro's,Toronto,Bloordale Village,43.6584817,-79.4431203,american,2.0,1.375,0.16162549644423282,0.06852641254456565,0.5608721601941367,0.08559135210160113,0.08105145570334521,0.04233312301211851
-dOjdFq-kFhQTrG-yLYc_w,Maple Leaf Tavern,Toronto,Leslieville,43.668110799999994,-79.33980079999999,american,3.0,2.0,0.1507621091648698,0.10163177921807938,0.34235035786773993,0.010750526143976116,0.005900378987677361,0.3886048486176574
-llrUA_TlQTWH_CMM3NTNQ,KFC,Toronto,Mount Pleasant and Davisville,43.6992101,-79.386341,american,,1.0,0.07201681072467125,0.406525552460154,0.16185326392074545,0.12890456160975888,0.10594440378844924,0.12475540749622119
-rKuAcB5suEWKhcUiqr13w,AllStar Wings & Ribs,Toronto,Scarborough,43.7729455408,-79.2514597964,american,2.0,1.6875,0.15496415907999206,0.04688002798859844,0.2197396606542068,0.013642553560684615,0.3569823530721072,0.2077912456444109
-zH9u-R0pGpHbrr0G9sMyg,Village Grill Restaurant,Toronto,Etobicoke,43.6177246646,-79.49888333979999,american,,1.0,0.22603261414528675,0.18956784999037551,0.34387554780458446,0.0023303147601198095,0.00792175599515796,0.2302719173044755
-zo0R_6vW6JlJeoX2GHA-w,Milestones Restaurants,Toronto,Willowdale,43.7687227,-79.41210190000001,american,2.0,1.3125,0.26330645539596026,0.2524687611954418,0.18381219317842973,0.11550417142837938,0.016979757594431787,0.16792866120735706
0-ZA4TTKlHYGIQJj06G0-w,Loaded Pierogi,Toronto,St. Lawrence,43.647901,-79.373407,american,2.0,2.375,0.21834962568435437,0.4157838394056329,0.16537881600623214,0.045826464733261185,0.023898256491636273,0.1307629976788831
014FsLbXZrHg3k1LsRgElQ,Swiss Chalet Rotisserie & Grill,Toronto,Downsview,43.7269188129,-79.4804417493,american,2.0,2.0,0.34705988737955257,0.22869216869455458,0.13254670577403735,0.004607306542567398,0.0,0.28709393160928814
0Q0IgUtm3B0jnfj8YcCKfQ,Brockton General,Toronto,Little Portugal,43.6493943,-79.4263145,american,2.0,2.0,0.18598328942041656,0.041875258606906995,0.3929309580415374,0.0,0.0,0.37921049393113915
0cpLF0LFQHHRFNlL0iy_Aw,Union Social Eatery,Toronto,Yonge and St. Clair,43.687794516400004,-79.3950692564,american,2.0,1.6666666666666667,0.2560997791791489,0.2549568130504732,0.19382615548705434,0.10012587323921585,0.008464939313260048,0.1865264397308476
165eSyTOWmpfDfWDXo4f6A,The Chef's House,Toronto,Corktown,43.6508897483,-79.36917538760001,american,3.0,3.0,0.23363040250689976,0.21726556983318585,0.1686764569030728,0.0,0.003921308299633652,0.376506262457208
1LysYiRg6lvwb76WHMfIyw,North Stars Bar & Grill,Toronto,Willowdale,43.776520899999994,-79.4144396,american,,2.5,0.015581130925175206,0.0,0.37422885199213807,0.44646347270620473,0.017810872290509067,0.1459156720859729
1PJpo48hSChCbriXEHGSjw,Opus Restaurant,Toronto,The Annex,43.6692085,-79.3972042,american,4.0,3.0,0.05052199088425632,0.35804392679989555,0.146437208963968,0.05410668040988251,0.006770649966815203,0.38411954297518247
1PJpo48hSChCbriXEHGSjw,Opus Restaurant,Toronto,The Annex,43.6692085,-79.3972042,italian,4.0,3.0,0.05052199088425632,0.35804392679989555,0.146437208963968,0.05410668040988251,0.006770649966815203,0.38411954297518247
1gBBumY1aO5x4ybRYWRacA,Island Cafe,Toronto,,43.630930600000006,-79.355836,american,2.0,1.125,0.34021904441825646,0.062318470648422684,0.2671127982778468,0.016487246857633937,0.00661694219438941,0.30724549760345077
1uAYx8wgiRXNB_I9g1n8eQ,Red Cranberries Restaurant,Toronto,Cabbagetown,43.6678386,-79.3692698,american,2.0,3.0,0.11287524466551757,0.24046525977067756,0.23137333340095442,0.050647660724468135,0.007293580895002385,0.3573449205433799
