address,BikeParking,BusinessAcceptsCreditCards,Caters,CoatCheck,GoodForKids,HappyHour,HasTV,OutdoorSeating,RestaurantsDelivery,RestaurantsGoodForGroups,RestaurantsReservations,RestaurantsTableService,RestaurantsTakeOut,WheelchairAccessible,business_id,categories,city,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,latitude,longitude,name,neighborhood,postal_code,review_count,stars,state,ambience_romantic,ambience_intimate,ambience_classy,ambience_hipster,ambience_touristy,ambience_trendy,ambience_upscale,ambience_casual,good_for_dessert,good_for_latenight,good_for_lunch,good_for_dinner,good_for_breakfast,good_for_brunch,parking_garage,parking_street,parking_validated,parking_lot,parking_valet,TotalOpenTimeInWeek,NumberOfWeekdaysWithEarlyOpening,NumberOfWeekdaysWithLateClosing,OpenOnWeekends,bestnight_monday,bestnight_tuesday,bestnight_wednesday,bestnight_thursday,bestnight_friday,bestnight_saturday,bestnight_sunday,music_dj,music_background_music,music_no_music,music_karaoke,music_live,music_video,music_jukebox,full_bar,beer_and_wine,no_alcohol,smoking_outdoor,smoking_no,smoking_yes,wifi_free,wifi_no,wifi_paid,noise_average,noise_loud,noise_quiet,noise_very_loud,price_range_1,price_range_2,price_range_3,price_range_4,attire_casual,attire_dressy
185 Dundas Street W,True,True,True,,True,,False,False,False,True,True,True,True,True,nyM76RUyFzekHHmYEU-KBQ,"Indian, Restaurants, Italian",Toronto,11:30-21:0,11:30-21:0,15:0-21:0,,11:30-21:0,11:30-21:0,11:30-21:0,43.6549946,-79.3866757,Eat Fresh Be Healthy,Downtown Core,M5G 1C7,172,4.0,ON,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,False,,0.0,5.0,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False
1228 Saint Clair Avenue W,,True,,,True,,True,True,False,True,False,True,True,,6a7zecn8W8r9dDWwQVb6aA,"Restaurants, Italian",Toronto,,,,,,,,43.6775605,-79.4451386,Novecento,Corso Italia,M6E 1B7,7,4.5,ON,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,,,,,,,,,,,,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False
1185 King Street W,True,True,True,,False,,False,True,False,True,True,True,True,True,qRTbYc7ennnwfr992kfjdA,"Italian, Restaurants",Toronto,17:0-22:0,11:30-15:30,16:0-22:0,,17:0-22:0,17:0-22:0,17:0-22:0,43.6391708,-79.4254538,Caffino Ristorante,Liberty Village,M6K 3C5,75,4.0,ON,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,,0.0,4.0,,,,,,,,,,,,,,,,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False
370 Queens Quay W,,True,,,True,,,False,,True,,True,True,True,VbFGfmrl0VtXc10vKpj5aw,"Italian, Greek, Mediterranean, Restaurants",Toronto,17:0-23:0,17:0-23:0,17:0-23:30,11:30-22:0,17:0-23:0,17:0-23:0,17:0-23:0,43.6387666,-79.38979,Porticello Restaurant,Harbourfront,M5V 3J3,3,3.5,ON,,,,,,,,,False,False,False,False,False,False,,,,,,1 days 23:00:00.000000000,0.0,5.0,2.0,,,,,,,,,,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
665 College St,True,True,True,,True,,True,True,True,True,True,True,True,False,yBGqf8l9NOM3vZFnlxcgzQ,"Food, Italian, Restaurants, Pizza, Food Delivery Services",Toronto,12:0-1:0,12:0-22:0,12:0-1:0,12:0-22:0,12:0-23:0,12:0-22:0,12:0-22:0,43.6548983,-79.4164765,Vivoli,Little Italy,M6G 1B7,69,3.5,ON,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,3 days 05:00:00.000000000,0.0,5.0,2.0,,,,,,,,,,,,,,,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False
35 Church Street,True,True,True,False,True,True,False,True,False,True,True,True,True,True,Orgm9nmcClxnAUva4nOKyA,"Event Planning & Services, Cafes, Breakfast & Brunch, Venues & Event Spaces, Italian, Caterers, Bars, Nightlife, Restaurants",Toronto,11:0-0:0,11:0-23:0,10:0-0:0,9:30-23:0,11:0-23:0,11:0-23:0,11:0-23:0,43.648847496,-79.37368318,Hot House Restaurant & Bar,St. Lawrence,M5E 1T3,291,3.5,ON,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,3 days 16:30:00.000000000,0.0,5.0,2.0,False,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True,False
431 Richmond Street W,True,,,,True,,True,True,True,True,False,False,True,,NFaVXGofY855SyGs6D3_-Q,"Pizza, Salad, Restaurants, Sandwiches, Italian",Toronto,11:0-23:0,11:0-21:0,11:0-23:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,43.6476808,-79.3967361,Tosto Quickfire Pizza Pasta,,M5V 1X9,28,3.5,ON,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,3 days 02:00:00.000000000,0.0,5.0,2.0,,,,,,,,,,,,,,,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False
3238 Yonge Street,True,True,,,True,,False,True,True,True,True,True,False,True,ZBSha-zoPLias7wCQ0ZyVw,"Italian, Restaurants",Toronto,,,,,,,,43.7295029,-79.4035613,Gamberoni Restaurant,,M4N 2L4,23,3.0,ON,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,,,,,,,,,,,,,,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False
"3401 Dufferin Street, Unit R04",,True,False,,True,,True,False,False,True,False,,True,,whyNu5Cl8gMiQkdWPzaDXQ,"Pizza, Restaurants, Italian",Toronto,11:0-22:0,11:0-22:0,11:0-22:0,11:0-20:0,11:0-22:0,11:0-22:0,11:0-22:0,43.7247752,-79.4553801,Famoso Neopolitan Pizzeria,,M6A 3A1,30,3.5,ON,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,3 days 03:00:00.000000000,0.0,5.0,2.0,,,,,,,,,,,,,,,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False
603 Yonge Street,True,True,True,,True,,True,True,False,True,True,True,True,True,KuxDPl6UYNLxFChPm0_MNw,"Caterers, Event Planning & Services, Breakfast & Brunch, Italian, Restaurants",Toronto,10:0-0:0,10:0-23:0,10:0-0:0,10:0-23:0,10:0-23:0,10:0-23:0,10:0-23:0,43.6667137,-79.3851366,Brownstone Bistro,Church-Wellesley Village,M4Y 1Z5,157,3.5,ON,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,3 days 21:00:00.000000000,0.0,5.0,2.0,,,,,,,,,,,,,,,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False
