address,BikeParking,BusinessAcceptsCreditCards,Caters,CoatCheck,GoodForKids,HappyHour,HasTV,OutdoorSeating,RestaurantsDelivery,RestaurantsGoodForGroups,RestaurantsReservations,RestaurantsTableService,RestaurantsTakeOut,WheelchairAccessible,business_id,categories,city,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,latitude,longitude,name,neighborhood,postal_code,review_count,stars,state,ambience_romantic,ambience_intimate,ambience_classy,ambience_hipster,ambience_touristy,ambience_trendy,ambience_upscale,ambience_casual,good_for_dessert,good_for_latenight,good_for_lunch,good_for_dinner,good_for_breakfast,good_for_brunch,parking_garage,parking_street,parking_validated,parking_lot,parking_valet,TotalOpenTimeInWeek,NumberOfWeekdaysWithEarlyOpening,NumberOfWeekdaysWithLateClosing,OpenOnWeekends,bestnight_monday,bestnight_tuesday,bestnight_wednesday,bestnight_thursday,bestnight_friday,bestnight_saturday,bestnight_sunday,music_dj,music_background_music,music_no_music,music_karaoke,music_live,music_video,music_jukebox,full_bar,beer_and_wine,no_alcohol,smoking_outdoor,smoking_no,smoking_yes,wifi_free,wifi_no,wifi_paid,noise_average,noise_loud,noise_quiet,noise_very_loud,price_range_1,price_range_2,price_range_3,price_range_4,attire_casual,attire_dressy,negative_reviews,neutral_reviews,positive_reviews
972 College Street W,,,True,,False,,False,False,False,True,True,,False,True,3YKV1eralyrKQqoWOTJMDA,"Italian, Restaurants",Toronto,17:30-0:0,,17:30-0:0,,17:30-23:0,17:30-23:0,17:30-23:0,43.6535007,-79.42760899999999,Giulietta,Dufferin Grove,M6H 1A5,12,4.5,ON,False,False,False,False,False,False,False,False,,,,,,,False,True,False,False,False,,,,,,,,,,,,,,,,,,,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,1.0,,11.0
27 Yorkville Avenue,,True,False,,False,,False,True,False,True,True,True,True,True,tgjbQEtZ_bvQBJOlfiK1OA,"Mediterranean, Middle Eastern, Italian, Restaurants",Toronto,17:0-23:0,17:0-22:0,17:0-23:0,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0,43.6715509,-79.3888742,Mideastro Yorkville,Yorkville,M4W 1L4,28,3.5,ON,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,1 days 13:00:00.000000000,0.0,5.0,2.0,,,,,,,,,,,,,,,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,8.0,1.0,19.0
133 Yorkville Avenue,False,True,False,True,False,True,False,True,False,True,True,True,False,False,S5bNE4Pmin8OQUMOFod8bQ,"Bars, Italian, Restaurants, Nightlife, Wine Bars",Toronto,11:30-2:0,11:30-0:0,11:30-2:0,11:30-0:0,11:30-2:0,11:30-0:0,11:30-0:0,43.670475399999994,-79.3936453,Ciao Wine Bar,Yorkville,M5R 1C4,122,3.0,ON,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False,True,3 days 21:30:00.000000000,0.0,5.0,2.0,False,False,False,False,True,True,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,True,23.0,15.0,84.0
1378 Yonge Street,,True,,,True,,False,True,True,True,True,True,True,,0rMFhLzeq3Z2OaJ62MQXlw,"Italian, Restaurants",Toronto,,,,,,,,43.6862465,-79.39356140000001,Spiga Ristorante,Yonge and St. Clair,M4T 1Y5,12,4.0,ON,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,1.0,2.0,9.0
2777 Steeles Avenue W,False,True,True,,True,,True,False,False,True,True,True,True,True,Xfp4-gMS2HZhISIxw5HnvA,"Canadian (New), Italian, Restaurants",Toronto,11:30-22:30,11:30-15:0,11:30-22:30,,11:30-21:0,11:30-21:0,11:30-21:0,43.7821596,-79.4904296,La Risata Ristorante,,M3J 3K5,16,3.0,ON,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,,0.0,4.0,,,,,,,,,,,,,,,,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,4.0,2.0,10.0
37 Elm Street,False,True,False,,False,,False,True,False,True,True,True,True,False,Q4RSmF0s-AkaegrLFCLEbg,"Seafood, Italian, Restaurants",Toronto,16:30-0:0,16:30-23:0,16:30-0:0,,16:30-23:0,16:30-23:0,16:30-23:0,43.657425,-79.38347399999999,Donatello Restaurant,Downtown Core,M5G 1H1,125,4.0,ON,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,,0.0,5.0,,,,,,,,,,,,,,,,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,11.0,9.0,105.0
2088 Yonge Street,True,True,True,,True,,True,True,False,True,True,True,True,,wVc3g-YfyDvkOLDecpr4DA,"Canadian (New), American (New), Restaurants, Italian",Toronto,17:0-23:0,17:0-23:0,17:0-23:0,,17:0-23:0,17:0-23:0,17:0-23:0,43.702215268900005,-79.397614373,Five Doors North,Mount Pleasant and Davisville,M4S 2A3,105,4.0,ON,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,,0.0,5.0,,,,,,,,,,,,,,,,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,10.0,8.0,87.0
41 Clinton St,True,True,,,False,,False,True,False,True,True,True,False,True,k4PFaATcPO0tvTetNbdm8Q,"Caterers, Italian, Restaurants, Event Planning & Services",Toronto,18:0-23:0,18:0-23:0,18:0-23:0,,18:0-23:0,18:0-23:0,18:0-23:0,43.6553284,-79.4137911,Trattoria Giancarlo,Little Italy,M6J 2N9,30,3.5,ON,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,0.0,5.0,,,,,,,,,,,,,,,,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,4.0,3.0,23.0
296 Brunswick Avenue,,True,,True,,,True,True,False,,True,True,,,B_eq-9vINgR0m1PwgUp5aw,"Italian, Nightlife, Restaurants",Toronto,11:0-2:0,11:0-2:0,9:0-2:0,9:0-15:30,11:0-2:0,11:0-2:0,11:0-2:0,43.665449100000004,-79.4078992,The Annex Live,,M5S,3,3.0,ON,,,,,,,,,False,False,False,False,False,False,False,True,False,False,False,4 days 02:30:00.000000000,0.0,5.0,2.0,,,,,,,,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,,,3.0
137 Avenue Rd,,True,,,False,,True,True,,True,True,True,True,True,I1Y_Nal9YsnSPvvXb47Ofw,"Italian, Seafood, Restaurants",Toronto,12:0-2:30,17:0-0:0,17:0-1:0,,12:0-2:30,12:0-2:30,12:0-2:30,43.6739721,-79.3960984,Vittorio's On Avenue,,M5R 1V2,10,3.0,ON,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,0.0,5.0,,,,,,,,,,,,,,,,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,,1.0,9.0
