address,BikeParking,BusinessAcceptsCreditCards,Caters,CoatCheck,GoodForKids,HappyHour,HasTV,OutdoorSeating,RestaurantsDelivery,RestaurantsGoodForGroups,RestaurantsReservations,RestaurantsTableService,RestaurantsTakeOut,WheelchairAccessible,business_id,categories,city,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,latitude,longitude,name,neighborhood,postal_code,review_count,stars,state,ambience_romantic,ambience_intimate,ambience_classy,ambience_hipster,ambience_touristy,ambience_trendy,ambience_upscale,ambience_casual,good_for_dessert,good_for_latenight,good_for_lunch,good_for_dinner,good_for_breakfast,good_for_brunch,parking_garage,parking_street,parking_validated,parking_lot,parking_valet,TotalOpenTimeInWeek,NumberOfWeekdaysWithEarlyOpening,NumberOfWeekdaysWithLateClosing,OpenOnWeekends,bestnight_monday,bestnight_tuesday,bestnight_wednesday,bestnight_thursday,bestnight_friday,bestnight_saturday,bestnight_sunday,music_dj,music_background_music,music_no_music,music_karaoke,music_live,music_video,music_jukebox,full_bar,beer_and_wine,none,smoking_outdoor,smoking_no,smoking_yes,wifi_free,wifi_no,wifi_paid,noise_average,noise_loud,noise_quiet,noise_very_loud,price_range_1,price_range_2,price_range_3,price_range_4,attire_casual,attire_dressy
2227 N Rampart Blvd,True,True,False,,True,,True,False,False,True,False,True,True,True,0jtRI7hVMpQHpUVtUy4ITw,"Beer, Wine & Spirits, Italian, Food, American (Traditional), Breakfast & Brunch, Restaurants",Las Vegas,7:0-19:0,7:0-14:30,7:0-14:30,7:0-14:30,7:0-19:0,7:0-19:0,7:0-19:0,36.2019904392,-115.283122245,Omelet House Summerlin,Summerlin,89128,242,4.0,NV,False,False,False,False,False,False,False,True,False,False,True,False,True,True,False,False,False,False,False,2 days 22:30:00.000000000,5.0,0.0,2.0,,,,,,,,,,,,,,,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False
2201 S Fort Apache Rd,True,True,False,,True,,True,True,False,True,True,True,True,True,XeDLyY2a7nZ3IEY4RYslXA,"American (New), Restaurants, Food, Breweries, Brewpubs",Las Vegas,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,36.147496,-115.2980657,Chicago Brewing Company,Westside,89117,446,3.5,NV,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,False,True,False,0 days 00:00:00.000000000,5.0,5.0,2.0,,,,,,,,,,,,,,,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False
7530 S Las Vegas Blvd,True,True,True,False,True,True,True,False,False,True,True,True,True,True,MDVbJicJvqaO4WGx0vEabQ,"Bars, American (Traditional), Nightlife, Restaurants, Tex-Mex",Las Vegas,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,36.052802,-115.171496,Chili's,Southeast,89123,230,3.0,NV,False,False,False,False,False,False,False,True,True,False,True,True,False,False,False,False,False,True,False,3 days 12:00:00.000000000,0.0,5.0,2.0,False,False,False,True,False,True,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,True,False
2101 Texas Star Ln,True,True,False,,True,,False,False,False,True,False,False,True,True,NGp1HTYrPg3pMP-tXeLf-g,"Burgers, American (Traditional), Fast Food, Restaurants",Las Vegas,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,36.1974092,-115.1913849,Fatburger,,89032,22,2.5,NV,False,False,False,False,False,False,False,True,False,True,True,True,False,False,True,False,False,False,False,0 days 00:00:00.000000000,5.0,5.0,2.0,,,,,,,,,,,,,,,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False
10490 W Cheyenne Ave,True,True,False,,True,,True,False,False,True,False,True,True,True,cQzFj5GNz8l_VMJJnW4mLw,"American (Traditional), Restaurants",Las Vegas,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,36.218866,-115.3253819,The Edge of Town,Summerlin,89129,96,3.5,NV,False,False,False,False,False,False,False,True,False,False,True,True,True,False,False,False,False,True,False,0 days 00:00:00.000000000,5.0,5.0,2.0,,,,,,,,,,,,,,,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False
"7160 North Durango Dr, Ste 110",True,True,True,,True,,True,True,False,True,True,False,True,,w55IYhyLHUdsRlo_EvMmNQ,"Salad, American (New), Pizza, Sandwiches, Restaurants",Las Vegas,12:0-20:0,12:0-20:0,12:0-20:0,,12:0-20:0,12:0-20:0,12:0-20:0,36.2914365,-115.2870159,Table 89,Centennial,89149,79,3.5,NV,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,,0.0,0.0,,,,,,,,,,,,,,,,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False
3370 Novat St,True,True,True,False,False,True,True,False,False,True,False,True,True,True,d6_51PI94EC1C5sG9hi6HA,"American (Traditional), Bars, Restaurants, Arts & Entertainment, Nightlife, Breakfast & Brunch",Las Vegas,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,36.2215736,-115.3281597,Timbers - Novat,Northwest,89129,80,3.5,NV,False,False,False,False,False,False,False,True,False,True,True,True,True,False,False,False,False,True,False,0 days 00:00:00.000000000,5.0,5.0,2.0,False,False,False,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,False
6689 Las Vegas Blvd,True,True,False,False,False,True,True,False,False,True,False,True,True,,VWnMgGRexZMGFs7IrQR_9Q,"Wine Bars, Beer Bar, Restaurants, American (New), Nightlife, Bars, Salad",Las Vegas,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,36.067581,-115.17423,LV bar,Southeast,89119,22,4.5,NV,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,2 days 22:00:00.000000000,0.0,5.0,2.0,,,,,,,,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False
6683 Las Vegas Blvd S,True,True,False,False,True,True,True,True,False,True,True,True,True,True,VGWEpMEkzQopS5lUNd06Sw,"Restaurants, Bars, Nightlife, American (New), Seafood, American (Traditional), Sports Bars",Las Vegas,11:0-2:0,11:0-0:0,11:0-2:0,11:0-0:0,11:0-2:0,11:0-0:0,11:0-0:0,36.0661824639,-115.175287547,Miller's Ale House - Las Vegas,Southeast,89119,583,3.5,NV,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False,4 days 01:00:00.000000000,0.0,5.0,2.0,True,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False
"6430 N Durango Dr, Ste 110",True,True,False,False,False,True,True,False,False,True,False,True,True,,vFfU79z5a5jQaQA_ka2ftA,"Breakfast & Brunch, Bars, Food, American (New), Nightlife, Cocktail Bars, Restaurants, Desserts",Las Vegas,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,36.2777832,-115.2863335,Distill - A Local Bar,Centennial,89149,203,4.0,NV,False,False,False,False,False,False,False,True,False,True,True,True,True,True,True,False,False,True,False,0 days 00:00:00.000000000,5.0,5.0,2.0,False,False,False,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,False
