ALL,lasso,ridge,gbm,rf,Total
cat_Toronto_italian_1.0,-0.2759764,-0.3337287,0.0061763,0.0015251,0.617406519
positive_reviews,0.0010465,-0.0257313,0.1878773,0.3851224,0.599777499
cat_Toronto_american_2.0,-0.2932940,-0.2896799,0.0086827,0.0058254,0.597481974
cat_Las Vegas_chinese_nan,-0.1892784,-0.4035205,0.0008893,0.0005604,0.594248652
cat_Las Vegas_italian_nan,-0.1521483,-0.4110391,0.0000000,0.0006625,0.563849915
cat_Calgary_american_2.0,-0.2584761,-0.2664792,0.0052012,0.0039034,0.534059936
cat_Las Vegas_american_nan,0.1910321,0.3002997,0.0028798,0.0039803,0.498191905
negative_reviews,-0.0099420,-0.0366075,0.1702890,0.2754355,0.492274008
cat_Toronto_chinese_2.0,-0.2344049,-0.2442015,0.0084642,0.0041158,0.491186391
cat_Calgary_italian_4.0,0.0000000,0.4875357,0.0000000,0.0000479,0.487583625
cat_Toronto_american_nan,-0.1648874,-0.3105572,0.0090514,0.0018317,0.486327745
cat_Calgary_italian_1.0,0.0000000,0.4387391,0.0000000,0.0002267,0.438965774
ambience_hipster,0.1345248,0.2170712,0.0003151,0.0002404,0.352151547
noise_very_loud,-0.1428926,-0.1914523,0.0019911,0.0014217,0.337757737
cat_Toronto_american_1.0,-0.1081051,-0.1957460,0.0065518,0.0007409,0.311143782
cat_Las Vegas_american_3.0,0.0833033,0.2241343,0.0009412,0.0015502,0.309928952
cat_Las Vegas_american_1.0,0.1127890,0.1633084,0.0070789,0.0042962,0.287472467
BusinessAcceptsCreditCards,-0.1230263,-0.1398892,0.0126251,0.0069492,0.282489888
cat_Las Vegas_italian_2.0,0.1043115,0.1591589,0.0068437,0.0028915,0.273205666
cat_Las Vegas_italian_4.0,0.0000000,0.2654133,0.0000000,0.0000091,0.265422335
attire_casual,-0.0861987,-0.1628544,0.0102202,0.0043963,0.263669592
parking_street,0.1109936,0.1329322,0.0037828,0.0035646,0.251273215
music_video,0.0000000,-0.2398617,0.0000000,0.0000223,0.239883932
ambience_classy,0.1054662,0.1307674,0.0024072,0.0002018,0.238842579
noise_loud,-0.0973472,-0.1252775,0.0036649,0.0019705,0.228260136
cat_Las Vegas_chinese_3.0,0.0000000,0.2263085,0.0000000,0.0005982,0.226906708
cat_Calgary_american_1.0,0.0000000,-0.2220398,0.0000000,0.0004027,0.22244256
cat_Las Vegas_american_4.0,0.0000000,0.2185148,0.0025403,0.0003873,0.221442436
